Participant,Version,Date,Session,OpenSignalsData,Complete,Status,Channels,Overflow,Duration,PsychoPy,PsychoPyComplete,Errors
143G,1.1,2025-6-13,,1.0,1.0,99.57537154989384,2.225509715919618,0.0,7955.704000000005,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
143H,1.1,2025-6-18,,1.0,1.0,98.46405228758172,2.176506348766228,0.0,7306.771999999997,1.0,0.0,
143I,1.1,2025-6-25,,1.0,1.0,100.0,3.0,0.0,8917.523000000001,1.0,0.0,DNF: passiveViewing_01 in Version 2025-06-25_13h17.48.892
144G,1.1,2025-6-13,,1.0,1.0,97.27131782945736,2.22933248777849,0.0,7638.375,1.0,0.0,
144H,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Missing Signals: blankScreen_00 - KeyError('t');Missing Signals: BP_00 - KeyError('t');Missing Signals: Saliva_00 - KeyError('t');Missing Signals: Exposure - KeyError('t');Missing Signals: passiveViewing_01 - KeyError('t');Missing Signals: blankScreen_01 - KeyError('t');Missing Signals: BP_01 - KeyError('t');Missing Signals: blankScreen_02 - KeyError('t');Missing Signals: BP_02 - KeyError('t');Missing Signals: blankScreen_03 - KeyError('t');Missing Signals: BP_03 - KeyError('t');Missing Signals: blankScreen_04 - KeyError('t');Missing Signals: BP_04 - KeyError('t');Missing Signals: Exercise - KeyError('t');Missing Signals: BP_05 - KeyError('t');Missing Signals: blankScreen_05 - KeyError('t');Missing Signals: BP_06 - KeyError('t')
144I,1.1,2025-6-24,,1.0,1.0,100.0,3.0,0.0,9526.648999999998,1.0,0.0,
145G,1.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
145H,1.1,2025-6-17,,1.0,1.0,97.87615148413512,2.2659866907770323,0.0,7968.908000000003,1.0,0.0,
145I,1.1,2025-6-23,,1.0,1.0,100.0,3.0,0.0,7857.703000000001,1.0,0.0,
146G,1.1,2025-6-18,,1.0,1.0,97.75600505689002,2.210425273016688,0.0,8331.539999999994,1.0,0.0,
146H,1.1,2025-6-24,,1.0,1.0,98.9114445425125,2.202936902721977,0.0,8285.189000000006,1.0,0.0,
146I,1.1,2025-6-30,,1.0,1.0,100.0,3.0,0.0,9411.148,1.0,0.0,
147G,1.1,2025-6-18,,1.0,1.0,97.41002354524048,2.1982292631400333,0.0,8144.517,1.0,0.0,
147H,1.1,2025-6-23,,1.0,1.0,98.40142095914744,2.2129744502438427,0.0,7612.281999999999,1.0,0.0,
147I,1.1,2025-6-27,,1.0,1.0,100.0,3.0,0.0,8553.661999999997,1.0,0.0,
148G,1.1,2025-6-19,,1.0,1.0,98.51274787535412,3.0,0.0,6964.847000000002,1.0,0.0,
148H,1.1,2025-6-24,,1.0,1.0,96.83636363636364,2.180770926299252,0.0,6927.716,1.0,0.0,
148I,1.1,2025-6-30,,1.0,1.0,100.0,3.0,0.0,8009.896999999997,1.0,0.0,
149G,1.1,2025-6-19,,1.0,1.0,98.90616004605644,2.194484779805267,1.0,11741.832000000002,1.0,0.0,
149H,1.1,2025-6-23,,1.0,1.0,96.61680911680912,2.2023532262051275,1.0,10805.929000000004,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
149I,1.1,2025-6-30,,1.0,1.0,100.0,3.0,1.0,15004.388999999996,1.0,0.0,
151G,1.1,2025-6-27,,1.0,1.0,98.0436177036562,2.194582760778168,1.0,17101.69600000001,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
151H,1.1,2025-6-30,,1.0,1.0,98.2356647763075,1.198091599140538,0.0,8291.233,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
151I,1.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
